UserName,Date,TweetContent,#ofComment ,#ofRetweet,#ofLikes,#ofComment
Literary Base,12h,/LT What would the last sentence be ??,,433,1.2K,247
,4h,jungmo: “i’m working hard/trying my best to show you cooler & better sides of me. please give a lot of love”  (t/n: the last sentence can also be translated as “i hope you like it”),,172,211,0
Sade Ndya,16h,how we got a delta virus and music festivals running in the same sentence,,2.6K,12.9K,32
Richard Signorelli,5h,"Evidence against Barrack appears overwhelming. He has one viable option to avoid a fed prison sentence of at least several yrs:  cooperate.  Assuming rationality, this is what he will do. He already got a nightmarish taste of incarceration. He does not want to go back.",,1.1K,5.9K,181
JGZuma Foundation (Official),3h,"H.E Prez Zuma, an old man approaching 80 years of age, facing his 20th night in Estcourt Prison for a civil contempt. *Jailed without trial * No right to appeal  * No right to mitigate sentence . * Hoping the Rescission Appl will be successful. * Justice not Pity is all he wants.",,387,999,170
Dubois,1h,"Raphaël Varane probably thinks Ben White is the local estate agent, putting them in the same sentence is so disrespectful.",,177,1.5K,33
memes,5h,Don't let em finish the sentence..,,150,613,3
Gillian McKeith,21h,NSW.  The last sentence at the very end is all you need to know.,,443,684,55
FANGORIA,6m,A brand new THE EXORCIST trilogy is coming! Starring Leslie Odom Jr. and — are you ready for this…. Ellen Burstyn returns as Chris MacNeil! (Our heads are spinning just typing that sentence). Check out all the details here:,,18,53,3
Leo Nishikino,3m,Oh no more sentence enders,,0,0,0
Charles Booker,18h,Emmett Till was a child when he was lynched. The color of his skin was found to be a justifiable death sentence.  He would’ve turned 80 today. The bill to finally designate lynching as a hate crime sits lifeless in the Senate…all because of the man I’m going to replace in 2022.,,1.1K,6.4K,46
Chip Yoshi,4h,A Sprite Of Yoshi Feeding His Cat In The SNES Game Mario's Early Years: Fun with Letters! Found In Sentence World Of The Game =w=,,11,40,1
,4h,"The most iconic sentence and 1M likes, this fandom is getting bigger and bigger ",,16,122,1
Monna Bhai,1h,The best sentence in the world !,,0,1,0
Justice For Javonny,16h,Jeremy? Hot? Sexy? In the same sentence?  #LoveIslandUSA,,11,133,0
Mr Twisting Tiger,1h,"If you are good in English, begin a sentence with ""Of""...",,144,268,77
kia ,17h,"Sykkuno: ""My voice."" How the game picks up his sentence:",,22,385,1
Ahmed,16h,This is the craziest sentence I ever seen in my life.,,362,1.3K,15
99% OPPRESSED (WIKILEAKS),7h,"On NNAMDI KANU trial, i said this on the 29th of June 2021.  If southeast leaders don't rise up to tackle Buhari once and for all, the agenda behind all these shenanigans, is to sentence MNK to death, or life imprisonment.   IGBO'S rise up, and fight your battles yourselves.",,163,197,20
patient #77,4h,twitter is the only place where well articulated sentences still get misinterpreted you can say “i like pancakes” and someone will say “so you hate waffles??” like no bitch that’s a whole new sentence,,11,52,0
my uncle’s meme stash,7h,Don't let em finish the sentence..,,31,191,1
Kamal.,20h,Best sentence ever ,,0,0,0
nish⁷ OFC IM GOING THRU IT,15h,This last sentence here… such a great description of the kind of person Jungkook is ,,73,253,1
asbeidnftkdl,4h,you are a sentence— strongly and beautifully built.  —,,1,4,0
CosMos,1m,"The queen had her say!  Such a beautiful message and appreciation post to Kubi and others. The fact that she quoted that iconic sentence, I can't.  #LeyCem is too good for today's diziland...  Elma yiyelim mi? #CamTavanlar #BensuSoral #KubilayAka",,0,0,0
promo discount توصيل مجاني شحن مجاني السعوديه,10h,"But groundless hope, like unconditional love, is the only kind worth having.   كَوُدْ خَصًمِ كْوّبْوٰنٍ  نّمْشّيٰ:AC686 سيفي_P10 فوغا كلوسيت FVG  _We are all serving a life sentence, and good behavior is our only hope for a pardon.",,88,44,9
cháo sườn,7h,just remember this sentence: “the sun will rise and we will try again.”,,6,8,1
FUTURE MAN,10h,"I have an offer for $15,000 for a jpeg of a cartoon monkey, and that's a lowball offer. Never thought that would be a sentence I'd write  #BAYC",,15,137,23
DefinedPotential,13m,"Document your Experiences;   Recording sessions in photography and video, let us DEFINE your POTENTIAL. Studio session with @Sentence_267 & @FellaOnTheBeat   We cover Weddings|| Baby Showers|| Birthdays|Location Photoshoots|| Studio Photoshoots| +267 75553538 || #NtshamoragoBW",,1,0,0
Gdie,14h,By order of the Necronomicon i sentence this bunny to death!,,7,101,8
갤럭시-8/2,12h,The tattoos have meaning but he can only tell us after it come out   Is it part of the lyrics or a sentence aaaahh im so curious…,,31,68,0
ₑₗ,1h,"it’s trending on #3 and #4. it’s cute how it’s now a seperate tags, when we typed it in one sentence   MSS 365 on iTunes   @Msuppasit #MewSuppasit",,7,1,0
Kieran,7h,This sentence would kill a Victorian child,,6,49,2
Novelicious,11h,Write one good clean sentence &put a period at the end of it. Then write another one MFK FISHER  #writing #amwriting,,26,105,1
Devarsh Desai,7h,"When girls end their sentence with ""bro""",,1,18,0
josh cohen,15h,Persona 5 Through One's Sentence (Bronze) Learn a new Persona skill through Lockdown. #PS4share,,0,0,0
